STAID, SOUID,    DATE,   TX, Q_TX
   417,120091,19371201,-9999,    9
   417,120091,19371202,-9999,    9
   417,120091,19371203,-9999,    9
   417,120091,19371204,-9999,    9
   417,120091,19371205,-9999,    9
   417,120091,19371206,-9999,    9
   417,120091,19371207,-9999,    9
   417,120091,19371208,-9999,    9
   417,120091,19371209,-9999,    9
   417,120091,19371210,-9999,    9
   417,120091,19371211,-9999,    9
   417,120091,19371212,-9999,    9
   417,120091,19371213,-9999,    9
   417,120091,19371214,-9999,    9
   417,120091,19371215,-9999,    9
   417,120091,19371216,-9999,    9
   417,120091,19371217,-9999,    9
   417,120091,19371218,-9999,    9
   417,120091,19371219,-9999,    9
   417,120091,19371220,-9999,    9
   417,120091,19371221,-9999,    9
   417,120091,19371222,-9999,    9
   417,120091,19371223,-9999,    9
   417,120091,19371224,-9999,    9
   417,120091,19371225,-9999,    9
   417,120091,19371226,-9999,    9
   417,120091,19371227,-9999,    9
   417,120091,19371228,-9999,    9
   417,120091,19371229,-9999,    9
   417,120091,19371230,-9999,    9
   417,120091,19371231,-9999,    9
   417,120091,19380101,-9999,    9
   417,120091,19380102,-9999,    9
   417,120091,19380103,-9999,    9
   417,120091,19380104,-9999,    9
   417,120091,19380105,-9999,    9
   417,120091,19380106,-9999,    9
   417,120091,19380107,-9999,    9
   417,120091,19380108,-9999,    9
   417,120091,19380109,-9999,    9
   417,120091,19380110,-9999,    9
   417,120091,19380111,-9999,    9
   417,120091,19380112,-9999,    9
   417,120091,19380113,-9999,    9
   417,120091,19380114,-9999,    9
   417,120091,19380115,-9999,    9
   417,120091,19380116,-9999,    9
   417,120091,19380117,-9999,    9
   417,120091,19380118,-9999,    9
   417,120091,19380119,-9999,    9
   417,120091,19380120,-9999,    9
   417,120091,19380121,-9999,    9
   417,120091,19380122,-9999,    9
   417,120091,19380123,-9999,    9
   417,120091,19380124,-9999,    9
   417,120091,19380125,-9999,    9
   417,120091,19380126,-9999,    9
   417,120091,19380127,-9999,    9
   417,120091,19380128,-9999,    9
   417,120091,19380129,-9999,    9
   417,120091,19380130,-9999,    9
   417,120091,19380131,-9999,    9
   417,120091,19380201,-9999,    9
   417,120091,19380202,-9999,    9
   417,120091,19380203,-9999,    9
   417,120091,19380204,-9999,    9
   417,120091,19380205,-9999,    9
   417,120091,19380206,-9999,    9
   417,120091,19380207,-9999,    9
   417,120091,19380208,-9999,    9
   417,120091,19380209,-9999,    9
   417,120091,19380210,-9999,    9
   417,120091,19380211,-9999,    9
   417,120091,19380212,-9999,    9
   417,120091,19380213,-9999,    9
   417,120091,19380214,-9999,    9
   417,120091,19380215,-9999,    9
   417,120091,19380216,-9999,    9
   417,120091,19380217,-9999,    9
   417,120091,19380218,-9999,    9
   417,120091,19380219,-9999,    9
   417,120091,19380220,-9999,    9
   417,120091,19380221,-9999,    9
   417,120091,19380222,-9999,    9
   417,120091,19380223,-9999,    9
   417,120091,19380224,-9999,    9
   417,120091,19380225,-9999,    9
   417,120091,19380226,-9999,    9
   417,120091,19380227,-9999,    9
   417,120091,19380228,-9999,    9
   417,120091,19380301,-9999,    9
   417,120091,19380302,-9999,    9
   417,120091,19380303,-9999,    9
   417,120091,19380304,-9999,    9
   417,120091,19380305,-9999,    9
   417,120091,19380306,-9999,    9
   417,120091,19380307,-9999,    9
   417,120091,19380308,-9999,    9
   417,120091,19380309,-9999,    9
   417,120091,19380310,-9999,    9
   417,120091,19380311,-9999,    9
   417,120091,19380312,-9999,    9
   417,120091,19380313,-9999,    9
   417,120091,19380314,-9999,    9
   417,120091,19380315,-9999,    9
   417,120091,19380316,-9999,    9
   417,120091,19380317,-9999,    9
   417,120091,19380318,-9999,    9
   417,120091,19380319,-9999,    9
   417,120091,19380320,-9999,    9
   417,120091,19380321,-9999,    9
   417,120091,19380322,-9999,    9
   417,120091,19380323,-9999,    9
   417,120091,19380324,-9999,    9
   417,120091,19380325,-9999,    9
   417,120091,19380326,-9999,    9
   417,120091,19380327,-9999,    9
   417,120091,19380328,-9999,    9
   417,120091,19380329,-9999,    9
   417,120091,19380330,-9999,    9
   417,120091,19380331,-9999,    9
   417,120091,19380401,-9999,    9
   417,120091,19380402,-9999,    9
   417,120091,19380403,-9999,    9
   417,120091,19380404,-9999,    9
   417,120091,19380405,-9999,    9
   417,120091,19380406,-9999,    9
   417,120091,19380407,-9999,    9
   417,120091,19380408,-9999,    9
   417,120091,19380409,-9999,    9
   417,120091,19380410,-9999,    9
   417,120091,19380411,-9999,    9
   417,120091,19380412,-9999,    9
   417,120091,19380413,-9999,    9
   417,120091,19380414,-9999,    9
   417,120091,19380415,-9999,    9
   417,120091,19380416,-9999,    9
   417,120091,19380417,-9999,    9
   417,120091,19380418,-9999,    9
   417,120091,19380419,-9999,    9
   417,120091,19380420,-9999,    9
   417,120091,19380421,-9999,    9
   417,120091,19380422,-9999,    9
   417,120091,19380423,-9999,    9
   417,120091,19380424,-9999,    9
   417,120091,19380425,-9999,    9
   417,120091,19380426,-9999,    9
   417,120091,19380427,-9999,    9
   417,120091,19380428,-9999,    9
   417,120091,19380429,-9999,    9
   417,120091,19380430,-9999,    9
   417,120091,19380501,-9999,    9
   417,120091,19380502,-9999,    9
   417,120091,19380503,-9999,    9
   417,120091,19380504,-9999,    9
   417,120091,19380505,-9999,    9
   417,120091,19380506,-9999,    9
   417,120091,19380507,-9999,    9
   417,120091,19380508,-9999,    9
   417,120091,19380509,-9999,    9
   417,120091,19380510,-9999,    9
   417,120091,19380511,-9999,    9
   417,120091,19380512,-9999,    9
   417,120091,19380513,-9999,    9
   417,120091,19380514,-9999,    9
   417,120091,19380515,-9999,    9
   417,120091,19380516,-9999,    9
   417,120091,19380517,-9999,    9
   417,120091,19380518,-9999,    9
   417,120091,19380519,-9999,    9
   417,120091,19380520,-9999,    9
   417,120091,19380521,-9999,    9
   417,120091,19380522,-9999,    9
   417,120091,19380523,-9999,    9
   417,120091,19380524,-9999,    9
   417,120091,19380525,-9999,    9
   417,120091,19380526,-9999,    9
   417,120091,19380527,-9999,    9
   417,120091,19380528,-9999,    9
   417,120091,19380529,-9999,    9
   417,120091,19380530,-9999,    9
   417,120091,19380531,-9999,    9
   417,120091,19380601,-9999,    9
   417,120091,19380602,-9999,    9
   417,120091,19380603,-9999,    9
   417,120091,19380604,-9999,    9
   417,120091,19380605,-9999,    9
   417,120091,19380606,-9999,    9
   417,120091,19380607,-9999,    9
   417,120091,19380608,-9999,    9
   417,120091,19380609,-9999,    9
   417,120091,19380610,-9999,    9
   417,120091,19380611,-9999,    9
   417,120091,19380612,-9999,    9
   417,120091,19380613,-9999,    9
   417,120091,19380614,-9999,    9
   417,120091,19380615,-9999,    9
   417,120091,19380616,-9999,    9
   417,120091,19380617,-9999,    9
   417,120091,19380618,-9999,    9
   417,120091,19380619,-9999,    9
   417,120091,19380620,-9999,    9
   417,120091,19380621,-9999,    9
   417,120091,19380622,-9999,    9
   417,120091,19380623,-9999,    9
   417,120091,19380624,-9999,    9
   417,120091,19380625,-9999,    9
   417,120091,19380626,-9999,    9
   417,120091,19380627,-9999,    9
   417,120091,19380628,-9999,    9
   417,120091,19380629,-9999,    9
   417,120091,19380630,-9999,    9
   417,120091,19380701,-9999,    9
   417,120091,19380702,-9999,    9
   417,120091,19380703,-9999,    9
   417,120091,19380704,-9999,    9
   417,120091,19380705,-9999,    9
   417,120091,19380706,-9999,    9
   417,120091,19380707,-9999,    9
   417,120091,19380708,-9999,    9
   417,120091,19380709,-9999,    9
   417,120091,19380710,-9999,    9
   417,120091,19380711,-9999,    9
   417,120091,19380712,-9999,    9
   417,120091,19380713,-9999,    9
   417,120091,19380714,-9999,    9
   417,120091,19380715,-9999,    9
   417,120091,19380716,-9999,    9
   417,120091,19380717,-9999,    9
   417,120091,19380718,-9999,    9
   417,120091,19380719,-9999,    9
   417,120091,19380720,-9999,    9
   417,120091,19380721,-9999,    9
   417,120091,19380722,-9999,    9
   417,120091,19380723,-9999,    9
   417,120091,19380724,-9999,    9
   417,120091,19380725,-9999,    9
   417,120091,19380726,-9999,    9
   417,120091,19380727,-9999,    9
   417,120091,19380728,-9999,    9
   417,120091,19380729,-9999,    9
   417,120091,19380730,-9999,    9
   417,120091,19380731,-9999,    9
   417,120091,19380801,-9999,    9
   417,120091,19380802,-9999,    9
   417,120091,19380803,-9999,    9
   417,120091,19380804,-9999,    9
   417,120091,19380805,-9999,    9
   417,120091,19380806,-9999,    9
   417,120091,19380807,-9999,    9
   417,120091,19380808,-9999,    9
   417,120091,19380809,-9999,    9
   417,120091,19380810,-9999,    9
   417,120091,19380811,-9999,    9
   417,120091,19380812,-9999,    9
   417,120091,19380813,-9999,    9
   417,120091,19380814,-9999,    9
   417,120091,19380815,-9999,    9
   417,120091,19380816,-9999,    9
   417,120091,19380817,-9999,    9
   417,120091,19380818,-9999,    9
   417,120091,19380819,-9999,    9
   417,120091,19380820,-9999,    9
   417,120091,19380821,-9999,    9
   417,120091,19380822,-9999,    9
   417,120091,19380823,-9999,    9
   417,120091,19380824,-9999,    9
   417,120091,19380825,-9999,    9
   417,120091,19380826,-9999,    9
   417,120091,19380827,-9999,    9
   417,120091,19380828,-9999,    9
   417,120091,19380829,-9999,    9
   417,120091,19380830,-9999,    9
   417,120091,19380831,-9999,    9
   417,120091,19380901,-9999,    9
