EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 17-11-2014
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TN   : minimum temperature in 0.1 &#176;C
30-34 Q_TN : Quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 104913) of FRANCE, NIMES (STAID: 788)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TN, Q_TN
   788,104913,19220101,   56,    0
   788,104913,19220102,   43,    0
   788,104913,19220103,   52,    0
   788,104913,19220104,    4,    0
   788,104913,19220105,  -10,    0
   788,104913,19220106,   -8,    0
   788,104913,19220107,  -14,    0
   788,104913,19220108,  -23,    0
   788,104913,19220109,   -5,    0
   788,104913,19220110,   79,    0
   788,104913,19220111,   40,    0
   788,104913,19220112,  -22,    0
   788,104913,19220113,  -14,    0
   788,104913,19220114,  -15,    0
   788,104913,19220115,   -8,    0
   788,104913,19220116,   -8,    0
   788,104913,19220117,   44,    0
   788,104913,19220118,   -1,    0
   788,104913,19220119,    3,    0
   788,104913,19220120,   -3,    0
   788,104913,19220121,   20,    0
   788,104913,19220122,   10,    0
   788,104913,19220123,   20,    0
   788,104913,19220124,   54,    0
   788,104913,19220125,   58,    0
   788,104913,19220126,   56,    0
   788,104913,19220127,   15,    0
   788,104913,19220128,   59,    0
   788,104913,19220129,   36,    0
   788,104913,19220130,   70,    0
   788,104913,19220131,   83,    0
   788,104913,19220201,   56,    0
   788,104913,19220202,   38,    0
   788,104913,19220203,   45,    0
   788,104913,19220204,   50,    0
   788,104913,19220205,   55,    0
   788,104913,19220206,  -26,    0
   788,104913,19220207,  -27,    0
   788,104913,19220208,  -38,    0
   788,104913,19220209,  -26,    0
   788,104913,19220210,  -17,    0
   788,104913,19220211,  -12,    0
   788,104913,19220212,   10,    0
   788,104913,19220213,   58,    0
   788,104913,19220214,   65,    0
   788,104913,19220215,   30,    0
   788,104913,19220216,   18,    0
   788,104913,19220217,   19,    0
   788,104913,19220218,   17,    0
   788,104913,19220219,   40,    0
   788,104913,19220220,   19,    0
   788,104913,19220221,   11,    0
   788,104913,19220222,   68,    0
   788,104913,19220223,   57,    0
   788,104913,19220224,   87,    0
   788,104913,19220225,   68,    0
   788,104913,19220226,   44,    0
   788,104913,19220227,   80,    0
   788,104913,19220228,   61,    0
   788,104913,19220301,   74,    0
   788,104913,19220302,   32,    0
   788,104913,19220303,   28,    0
   788,104913,19220304,   51,    0
   788,104913,19220305,   35,    0
   788,104913,19220306,   36,    0
   788,104913,19220307,   78,    0
   788,104913,19220308,   31,    0
   788,104913,19220309,   73,    0
   788,104913,19220310,   61,    0
   788,104913,19220311,   60,    0
   788,104913,19220312,   79,    0
   788,104913,19220313,  109,    0
   788,104913,19220314,  109,    0
   788,104913,19220315,   77,    0
   788,104913,19220316,   84,    0
   788,104913,19220317,   62,    0
   788,104913,19220318,   65,    0
   788,104913,19220319,   93,    0
   788,104913,19220320,  105,    0
   788,104913,19220321,   87,    0
   788,104913,19220322,   30,    0
   788,104913,19220323,   36,    0
   788,104913,19220324,   13,    0
   788,104913,19220325,  -30,    0
   788,104913,19220326,   -7,    0
   788,104913,19220327,   19,    0
   788,104913,19220328,   12,    0
   788,104913,19220329,   16,    0
   788,104913,19220330,    5,    0
   788,104913,19220331,  -10,    0
   788,104913,19220401,   31,    0
   788,104913,19220402,   83,    0
   788,104913,19220403,  100,    0
   788,104913,19220404,   57,    0
   788,104913,19220405,   16,    0
   788,104913,19220406,   50,    0
   788,104913,19220407,   78,    0
   788,104913,19220408,   91,    0
   788,104913,19220409,  126,    0
   788,104913,19220410,   85,    0
   788,104913,19220411,   73,    0
   788,104913,19220412,   60,    0
   788,104913,19220413,   82,    0
   788,104913,19220414,   86,    0
   788,104913,19220415,   99,    0
   788,104913,19220416,   90,    0
   788,104913,19220417,   74,    0
   788,104913,19220418,   53,    0
   788,104913,19220419,   25,    0
   788,104913,19220420,   57,    0
   788,104913,19220421,   78,    0
   788,104913,19220422,   58,    0
   788,104913,19220423,   40,    0
   788,104913,19220424,   43,    0
   788,104913,19220425,   64,    0
   788,104913,19220426,   42,    0
   788,104913,19220427,   84,    0
   788,104913,19220428,   47,    0
   788,104913,19220429,   66,    0
   788,104913,19220430,   48,    0
   788,104913,19220501,   42,    0
   788,104913,19220502,   33,    0
   788,104913,19220503,   59,    0
   788,104913,19220504,   69,    0
   788,104913,19220505,  116,    0
   788,104913,19220506,  130,    0
   788,104913,19220507,  126,    0
   788,104913,19220508,   92,    0
   788,104913,19220509,  106,    0
   788,104913,19220510,  132,    0
   788,104913,19220511,  122,    0
   788,104913,19220512,  115,    0
   788,104913,19220513,  128,    0
   788,104913,19220514,  120,    0
   788,104913,19220515,  132,    0
   788,104913,19220516,  134,    0
   788,104913,19220517,  132,    0
   788,104913,19220518,  146,    0
   788,104913,19220519,  114,    0
   788,104913,19220520,  152,    0
   788,104913,19220521,  143,    0
   788,104913,19220522,  118,    0
   788,104913,19220523,  119,    0
   788,104913,19220524,  120,    0
   788,104913,19220525,  118,    0
   788,104913,19220526,  179,    0
   788,104913,19220527,  201,    0
   788,104913,19220528,  206,    0
   788,104913,19220529,  212,    0
   788,104913,19220530,  178,    0
   788,104913,19220531,  150,    0
   788,104913,19220601,  150,    0
   788,104913,19220602,  159,    0
   788,104913,19220603,  141,    0
   788,104913,19220604,  168,    0
   788,104913,19220605,  154,    0
   788,104913,19220606,  172,    0
   788,104913,19220607,  168,    0
   788,104913,19220608,  180,    0
   788,104913,19220609,  164,    0
   788,104913,19220610,  164,    0
   788,104913,19220611,  163,    0
   788,104913,19220612,  163,    0
   788,104913,19220613,  157,    0
   788,104913,19220614,  132,    0
   788,104913,19220615,  124,    0
   788,104913,19220616,  107,    0
   788,104913,19220617,  142,    0
   788,104913,19220618,  157,    0
   788,104913,19220619,  120,    0
   788,104913,19220620,  150,    0
