EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 17-11-2014
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 SS   : sunshine in 0.1 Hours
30-34 Q_SS : Quality code for SS (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 104911) of FRANCE, NIMES (STAID: 788)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   SS, Q_SS
   788,104911,19460101,    0,    0
   788,104911,19460102,    0,    0
   788,104911,19460103,   64,    0
   788,104911,19460104,   73,    0
   788,104911,19460105,   50,    0
   788,104911,19460106,   78,    0
   788,104911,19460107,   78,    0
   788,104911,19460108,   42,    0
   788,104911,19460109,   42,    0
   788,104911,19460110,   16,    0
   788,104911,19460111,   70,    0
   788,104911,19460112,    0,    0
   788,104911,19460113,   66,    0
   788,104911,19460114,   82,    0
   788,104911,19460115,   73,    0
   788,104911,19460116,   75,    0
   788,104911,19460117,   75,    0
   788,104911,19460118,    0,    0
   788,104911,19460119,   24,    0
   788,104911,19460120,   41,    0
   788,104911,19460121,    0,    0
   788,104911,19460122,    0,    0
   788,104911,19460123,    0,    0
   788,104911,19460124,   28,    0
   788,104911,19460125,   26,    0
   788,104911,19460126,    5,    0
   788,104911,19460127,    0,    0
   788,104911,19460128,   73,    0
   788,104911,19460129,   45,    0
   788,104911,19460130,   20,    0
   788,104911,19460131,   78,    0
   788,104911,19460201,   42,    0
   788,104911,19460202,    0,    0
   788,104911,19460203,   85,    0
   788,104911,19460204,   26,    0
   788,104911,19460205,   71,    0
   788,104911,19460206,   14,    0
   788,104911,19460207,   87,    0
   788,104911,19460208,   80,    0
   788,104911,19460209,   97,    0
   788,104911,19460210,   94,    0
   788,104911,19460211,   72,    0
   788,104911,19460212,   90,    0
   788,104911,19460213,   70,    0
   788,104911,19460214,   88,    0
   788,104911,19460215,   99,    0
   788,104911,19460216,   88,    0
   788,104911,19460217,   41,    0
   788,104911,19460218,   91,    0
   788,104911,19460219,   97,    0
   788,104911,19460220,   94,    0
   788,104911,19460221,   81,    0
   788,104911,19460222,   85,    0
   788,104911,19460223,   38,    0
   788,104911,19460224,   65,    0
   788,104911,19460225,   55,    0
   788,104911,19460226,   96,    0
   788,104911,19460227,   23,    0
   788,104911,19460228,    0,    0
   788,104911,19460301,   54,    0
   788,104911,19460302,   20,    0
   788,104911,19460303,    0,    0
   788,104911,19460304,   23,    0
   788,104911,19460305,   60,    0
   788,104911,19460306,    0,    0
   788,104911,19460307,   15,    0
   788,104911,19460308,   23,    0
   788,104911,19460309,    0,    0
   788,104911,19460310,   46,    0
   788,104911,19460311,   65,    0
   788,104911,19460312,   41,    0
   788,104911,19460313,    1,    0
   788,104911,19460314,   76,    0
   788,104911,19460315,   91,    0
   788,104911,19460316,   80,    0
   788,104911,19460317,  108,    0
   788,104911,19460318,  109,    0
   788,104911,19460319,  116,    0
   788,104911,19460320,  100,    0
   788,104911,19460321,   46,    0
   788,104911,19460322,    0,    0
   788,104911,19460323,  106,    0
   788,104911,19460324,    0,    0
   788,104911,19460325,  105,    0
   788,104911,19460326,  120,    0
   788,104911,19460327,   51,    0
   788,104911,19460328,  105,    0
   788,104911,19460329,  106,    0
   788,104911,19460330,  111,    0
   788,104911,19460331,   69,    0
   788,104911,19460401,  109,    0
   788,104911,19460402,  108,    0
   788,104911,19460403,  125,    0
   788,104911,19460404,   75,    0
   788,104911,19460405,    0,    0
   788,104911,19460406,   43,    0
   788,104911,19460407,  126,    0
   788,104911,19460408,  126,    0
   788,104911,19460409,   71,    0
   788,104911,19460410,    0,    0
   788,104911,19460411,   38,    0
   788,104911,19460412,  117,    0
   788,104911,19460413,   30,    0
   788,104911,19460414,   61,    0
   788,104911,19460415,   66,    0
   788,104911,19460416,   83,    0
   788,104911,19460417,  124,    0
   788,104911,19460418,   67,    0
   788,104911,19460419,  110,    0
   788,104911,19460420,  130,    0
   788,104911,19460421,  116,    0
   788,104911,19460422,   26,    0
   788,104911,19460423,  108,    0
   788,104911,19460424,  110,    0
   788,104911,19460425,   85,    0
   788,104911,19460426,    0,    0
   788,104911,19460427,   75,    0
   788,104911,19460428,   50,    0
   788,104911,19460429,   60,    0
   788,104911,19460430,   84,    0
   788,104911,19460501,  132,    0
   788,104911,19460502,  112,    0
   788,104911,19460503,    0,    0
   788,104911,19460504,   46,    0
   788,104911,19460505,  110,    0
   788,104911,19460506,   35,    0
