EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 17-11-2014
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TN   : minimum temperature in 0.1 &#176;C
30-34 Q_TN : Quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 100561) of ITALY, ROMA CIAMPINO (STAID: 176)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TN, Q_TN
   176,100561,19510101,   32,    0
   176,100561,19510102,   76,    0
   176,100561,19510103,   94,    0
   176,100561,19510104,   82,    0
   176,100561,19510105,   42,    0
   176,100561,19510106,   35,    0
   176,100561,19510107,   40,    0
   176,100561,19510108,   84,    0
   176,100561,19510109,   86,    0
   176,100561,19510110,   60,    0
   176,100561,19510111,   32,    0
   176,100561,19510112,   84,    0
   176,100561,19510113,   76,    0
   176,100561,19510114,   38,    0
   176,100561,19510115,   28,    0
   176,100561,19510116,   32,    0
   176,100561,19510117,   30,    0
   176,100561,19510118,   16,    0
   176,100561,19510119,   55,    0
   176,100561,19510120,   25,    0
   176,100561,19510121,   38,    0
   176,100561,19510122,   46,    0
   176,100561,19510123,   88,    0
   176,100561,19510124,  116,    0
   176,100561,19510125,  124,    0
   176,100561,19510126,   54,    0
   176,100561,19510127,   46,    0
   176,100561,19510128,   74,    0
   176,100561,19510129,   66,    0
   176,100561,19510130,   46,    0
   176,100561,19510131,   48,    0
   176,100561,19510201,   38,    0
   176,100561,19510202,   36,    0
   176,100561,19510203,   25,    0
   176,100561,19510204,   48,    0
   176,100561,19510205,   90,    0
   176,100561,19510206,  112,    0
   176,100561,19510207,   70,    0
   176,100561,19510208,   67,    0
   176,100561,19510209,   65,    0
   176,100561,19510210,   73,    0
   176,100561,19510211,  102,    0
   176,100561,19510212,  124,    0
   176,100561,19510213,   94,    0
   176,100561,19510214,   83,    0
   176,100561,19510215,   80,    0
   176,100561,19510216,   54,    0
   176,100561,19510217,   35,    0
   176,100561,19510218,   46,    0
   176,100561,19510219,  107,    0
   176,100561,19510220,   56,    0
   176,100561,19510221,   92,    0
   176,100561,19510222,   52,    0
   176,100561,19510223,   54,    0
   176,100561,19510224,   56,    0
   176,100561,19510225,  108,    0
   176,100561,19510226,   70,    0
   176,100561,19510227,   20,    0
   176,100561,19510228,   28,    0
   176,100561,19510301,   30,    0
   176,100561,19510302,   20,    0
   176,100561,19510303,  -14,    0
   176,100561,19510304,  -20,    0
   176,100561,19510305,   27,    0
   176,100561,19510306,  100,    0
   176,100561,19510307,   90,    0
   176,100561,19510308,   70,    0
   176,100561,19510309,   52,    0
   176,100561,19510310,   36,    0
   176,100561,19510311,    5,    0
   176,100561,19510312,   98,    0
   176,100561,19510313,   83,    0
   176,100561,19510314,  118,    0
   176,100561,19510315,   88,    0
   176,100561,19510316,   90,    0
   176,100561,19510317,   76,    0
   176,100561,19510318,   95,    0
   176,100561,19510319,  118,    0
   176,100561,19510320,  106,    0
