EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 17-11-2014
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 SS   : sunshine in 0.1 Hours
30-34 Q_SS : Quality code for SS (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 105265) of ITALY, ROMA CIAMPINO (STAID: 176)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   SS, Q_SS
   176,105265,19990101,   38,    0
   176,105265,19990102,    6,    0
   176,105265,19990103,   60,    0
   176,105265,19990104,   83,    0
   176,105265,19990105,   82,    0
   176,105265,19990106,   82,    0
   176,105265,19990107,   49,    0
   176,105265,19990108,    0,    0
   176,105265,19990109,   44,    0
   176,105265,19990110,    0,    0
   176,105265,19990111,   36,    0
   176,105265,19990112,   40,    0
   176,105265,19990113,    0,    0
   176,105265,19990114,   66,    0
   176,105265,19990115,   80,    0
   176,105265,19990116,   76,    0
   176,105265,19990117,   78,    0
   176,105265,19990118,   65,    0
   176,105265,19990119,   37,    0
   176,105265,19990120,   82,    0
   176,105265,19990121,   84,    0
   176,105265,19990122,   75,    0
   176,105265,19990123,   80,    0
   176,105265,19990124,   73,    0
   176,105265,19990125,   82,    0
   176,105265,19990126,   34,    0
   176,105265,19990127,   28,    0
   176,105265,19990128,   84,    0
   176,105265,19990129,   90,    0
   176,105265,19990130,   88,    0
   176,105265,19990131,   67,    0
   176,105265,19990201,   90,    0
   176,105265,19990202,   80,    0
   176,105265,19990203,   48,    0
   176,105265,19990204,   65,    0
   176,105265,19990205,   15,    0
   176,105265,19990206,   85,    0
   176,105265,19990207,   45,    0
   176,105265,19990208,   75,    0
   176,105265,19990209,    0,    0
   176,105265,19990210,    0,    0
   176,105265,19990211,    0,    0
   176,105265,19990212,   81,    0
   176,105265,19990213,   90,    0
   176,105265,19990214,   56,    0
   176,105265,19990215,   65,    0
   176,105265,19990216,   84,    0
   176,105265,19990217,   10,    0
   176,105265,19990218,   94,    0
   176,105265,19990219,   92,    0
   176,105265,19990220,    0,    0
   176,105265,19990221,   24,    0
   176,105265,19990222,   35,    0
   176,105265,19990223,    7,    0
   176,105265,19990224,   90,    0
   176,105265,19990225,   10,    0
   176,105265,19990226,   75,    0
   176,105265,19990227,  100,    0
   176,105265,19990228,   85,    0
   176,105265,19990301,   70,    0
   176,105265,19990302,   86,    0
   176,105265,19990303,   60,    0
   176,105265,19990304,   65,    0
   176,105265,19990305,   60,    0
   176,105265,19990306,   40,    0
   176,105265,19990307,   32,    0
   176,105265,19990308,  104,    0
   176,105265,19990309,   52,    0
   176,105265,19990310,   98,    0
   176,105265,19990311,   88,    0
   176,105265,19990312,   98,    0
   176,105265,19990313,   97,    0
   176,105265,19990314,  100,    0
   176,105265,19990315,   73,    0
   176,105265,19990316,   44,    0
   176,105265,19990317,   27,    0
   176,105265,19990318,   95,    0
   176,105265,19990319,   80,    0
   176,105265,19990320,   82,    0
   176,105265,19990321,   72,    0
   176,105265,19990322,    0,    0
   176,105265,19990323,  104,    0
   176,105265,19990324,  107,    0
   176,105265,19990325,   11,    0
   176,105265,19990326,    2,    0
   176,105265,19990327,   85,    0
   176,105265,19990328,    5,    0
   176,105265,19990329,   54,    0
   176,105265,19990330,   75,    0
   176,105265,19990331,   86,    0
   176,105265,19990401,  102,    0
   176,105265,19990402,   95,    0
   176,105265,19990403,  105,    0
